Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-29T14:46:13.662Z","Included","auto","No","453003","2922","3220921","27933","3704779","1.54"
"2025-10-29T14:37:19.883Z","Included","auto","No","169595","1984","1477919","7651","1657149","0.63"
"2025-10-29T14:12:08.394Z","Included","auto","No","127261","1836","647056","3473","779626","0.34"
"2025-10-29T14:02:36.045Z","Included","auto","No","113499","1752","588253","3990","707494","0.32"
"2025-10-29T14:02:15.872Z","Included","auto","No","0","1146","1319","21","2486","0.002"
"2025-10-29T13:55:23.054Z","Included","auto","No","102760","1653","613396","2027","719836","0.30"
"2025-10-29T13:46:20.728Z","Included","auto","No","85053","2033","918689","7032","1012807","0.38"
"2025-10-29T13:37:08.357Z","Included","auto","No","32764","2002","526455","6797","568018","0.22"
"2025-10-29T08:07:31.662Z","Included","auto","No","160000","1637","2128022","2657","2292316","0.75"
"2025-10-29T08:02:57.718Z","Included","auto","No","0","6065","636683","782","643530","0.17"
"2025-10-29T07:58:40.016Z","Included","auto","No","0","148869","13584","231","162684","0.19"
"2025-10-29T07:52:12.614Z","Included","auto","No","158255","1027","1092115","870","1252267","0.48"
"2025-10-29T07:51:12.324Z","Included","auto","No","0","1013","1297","20","2330","0.002"
"2025-10-29T07:43:07.280Z","Included","auto","No","96716","1530","2406372","4019","2508637","0.75"
"2025-10-29T07:36:44.850Z","Included","auto","No","84155","1908","1944615","2796","2033474","0.61"
"2025-10-29T07:31:57.386Z","Included","auto","No","51556","1024","127287","749","180616","0.10"
"2025-10-29T07:18:26.194Z","Included","auto","No","0","107217","1562868","7398","1677483","0.57"
"2025-10-29T07:14:38.960Z","Included","auto","No","0","32666","7946","1864","42476","0.05"
"2025-10-29T07:11:10.631Z","Included","auto","No","0","37758","468059","1521","507338","0.17"
"2025-10-29T07:03:10.838Z","Included","auto","No","30888","1709","220930","6129","259656","0.13"
"2025-10-29T06:52:32.171Z","Included","auto","No","0","18657","38014","2561","59232","0.05"
"2025-10-29T06:43:56.345Z","Included","auto","No","0","6539","5342","235","12116","0.01"
"2025-10-29T06:42:27.357Z","Included","auto","No","0","26352","11132","615","38099","0.04"
"2025-10-28T18:57:41.979Z","Included","auto","No","75761","46638","607894","4350","734643","0.33"
"2025-10-28T18:52:28.984Z","Included","auto","No","70076","39605","935375","7512","1052568","0.42"
"2025-10-28T18:45:43.323Z","Included","auto","No","57211","32469","713753","7078","810511","0.33"
"2025-10-28T18:18:08.425Z","Included","auto","No","31917","17596","860157","9574","919244","0.33"
"2025-10-28T18:14:24.974Z","Included","auto","No","24342","10038","165946","4199","204525","0.11"
"2025-10-28T18:00:32.241Z","Included","auto","No","21418","2690","86758","2547","113413","0.07"
"2025-10-27T13:51:49.972Z","Included","auto","No","203","854","89174","131","90362","0.02"
"2025-10-27T13:47:40.311Z","Included","auto","No","12620","1317","1210451","2117","1226505","0.33"
"2025-10-27T13:43:07.930Z","Included","auto","No","3329","2012","218406","1338","225085","0.07"
"2025-10-27T13:36:45.995Z","Included","auto","No","10748","1323","598840","2326","613237","0.18"
"2025-10-27T13:30:14.328Z","Included","auto","No","5103","1417","405899","1567","413986","0.12"
"2025-10-27T13:21:47.210Z","Included","auto","No","15685","1714","857349","5919","880667","0.27"
"2025-10-27T13:17:52.887Z","Included","auto","No","35998","1530","220035","696","258259","0.11"
"2025-10-27T12:51:49.162Z","Included","auto","No","13997","1676","693929","3944","713546","0.22"
"2025-10-27T12:44:06.451Z","Included","auto","No","31483","1964","874806","5445","913698","0.29"
"2025-10-27T12:38:11.349Z","Included","auto","No","23048","1906","421513","4182","450649","0.16"
"2025-10-27T08:05:03.894Z","Included","auto","No","14717","3167","812099","7294","837277","0.27"
"2025-10-27T08:04:25.271Z","Included","auto","No","0","608","1274","19","1901","0.001"
